product_name,category,product_type,brand,review_text,star_rating,price,review_date,sentiment,sentiment_score
EchoPods Lite,Electronics,Wireless Earbuds,EchoTech,Good quality and performs well for the price.,4,52.46,2026-06-01,POSITIVE,0.7
ClassicFit Hoodie,Fashion,Hoodie,ClassicFit,Good quality and performs well for the price.,4,45.94,2026-03-07,POSITIVE,0.7
ViewPlus 27,Electronics,Monitor,ViewPlus,The product did not work as expected.,1,267.65,2026-04-24,NEGATIVE,0.6
EchoPods Lite,Electronics,Wireless Earbuds,EchoTech,Works very well and feels durable.,4,48.9,2026-05-11,POSITIVE,0.6
HairBloom Shampoo,Beauty & Personal Care,Shampoo,HairBloom,"Not bad for the price, but nothing exceptional.",3,16.18,2026-07-01,NEGATIVE,0.7
FreshMist Body Lotion,Beauty & Personal Care,Body Lotion,FreshMist,Great value for money. I would definitely recommend it.,5,12.37,2026-03-04,POSITIVE,0.9
UltraView 24,Electronics,Monitor,UltraView,I am very impressed with the quality and performance.,5,217.81,2026-03-18,POSITIVE,0.6
Mindful Living,Books,Self Help,BrightMind,Good quality and performs well for the price.,4,13.07,2026-05-18,POSITIVE,0.7
MegaTab S8,Electronics,Tablet,MegaTech,Works very well and feels durable.,4,371.8,2026-06-02,POSITIVE,0.6
Better Every Day,Books,Self Help,LifeLeaf,The product did not work as expected.,1,14.68,2026-01-10,NEGATIVE,0.6
HairBloom Shampoo,Beauty & Personal Care,Shampoo,HairBloom,The quality is excellent and the product is easy to use.,5,16.65,2026-02-27,POSITIVE,0.8
Hidden Truths,Books,Mystery,PageTurner,Works very well and feels durable.,4,17.9,2026-03-06,POSITIVE,0.6
SprintRun Bottle,Sports & Fitness,Water Bottle,SprintRun,Excellent product and works exactly as described.,5,20.29,2026-07-17,POSITIVE,0.7
EchoPods Lite,Electronics,Wireless Earbuds,EchoTech,"It is useful, although some features could be better.",3,52.15,2026-02-21,NEUTRAL,0.5
GlowCare Face Wash,Beauty & Personal Care,Face Wash,GlowCare,Absolutely satisfied with this purchase.,5,15.5,2026-08-10,POSITIVE,0.6
PowerLift Dumbbells,Sports & Fitness,Dumbbells,PowerLift,Poor quality and not worth the money.,1,84.74,2026-02-20,NEGATIVE,0.6
ZenGrip Mat,Sports & Fitness,Yoga Mat,ZenGrip,Good quality and performs well for the price.,4,34.71,2026-01-16,POSITIVE,0.7
CoolAir Pro,Home Appliances,Air Cooler,CoolAir,The product is okay but there is room for improvement.,3,220.0,2026-01-14,NEUTRAL,0.5
UrbanFlex Sneakers,Fashion,Sneakers,UrbanFlex,Really good product with only a few minor issues.,4,72.22,2026-05-12,POSITIVE,0.6
IronCore Dumbbells,Sports & Fitness,Dumbbells,IronCore,I am not completely satisfied with the purchase.,2,100.7,2026-06-16,NEGATIVE,0.6
Everyday Denim,Fashion,Jeans,Everyday,I am not completely satisfied with the purchase.,2,56.83,2026-06-23,NEGATIVE,0.6
